time,seconds_elapsed,z,y,x
1650870606648356600,0.170356689453125,0.009861283004283905,0.012478403747081757,-0.0014382004737854004
1650870606658365700,0.18036572265625,0.010762764140963554,0.005842607468366623,-0.010176297277212143
1650870606668375800,0.190375732421875,0.007267695851624012,0.005281217396259308,-0.02171475440263748
1650870606678385700,0.2003857421875,0.0018489616923034191,0.0021759718656539917,-0.017143703997135162
1650870606688395800,0.210395751953125,0.009629023261368275,0.007310301065444946,-0.006311966106295586
1650870606698404600,0.220404541015625,0.020093383267521858,0.013020120561122894,0.0047750407829880714
1650870606708414500,0.23041455078125,0.022266745567321777,0.008882101625204086,0.0021183164790272713
1650870606718424600,0.240424560546875,0.014206955209374428,0.016199667006731033,-0.012683798559010029
1650870606728434700,0.2504345703125,0.004076412878930569,0.013264592736959457,-0.02466363087296486
1650870606738443500,0.260443603515625,0.0033046286553144455,0.004814915359020233,-0.031738851219415665
1650870606748453600,0.27045361328125,0.002258933149278164,-0.003943141549825668,-0.027268292382359505
1650870606758463700,0.280463623046875,0.004147646948695183,-0.010502239689230919,-0.033898502588272095
1650870606768473600,0.2904736328125,0.011072643101215363,-0.008531508967280388,-0.03961923345923424
1650870606778483700,0.300483642578125,0.014571502804756165,-0.00469256192445755,-0.030577801167964935
1650870606788492800,0.310492919921875,0.011847734451293945,0.0014423318207263947,-0.02615993283689022
1650870606798502700,0.320502685546875,0.007624492514878511,0.004185918718576431,-0.019868748262524605
1650870606808512800,0.3305126953125,0.0016560351941734552,0.0017144829034805298,-0.005328952334821224
1650870606818522600,0.340522705078125,-0.002236707368865609,0.005695372819900513,-0.008556968532502651
1650870606828531700,0.35053173828125,-0.02202381007373333,0.003927301615476608,-0.0022233473137021065
1650870606838541800,0.360541748046875,-0.032595496624708176,0.006597921252250671,0.019013764336705208
1650870606848581600,0.37058154296875,-0.01572137326002121,0.00026786699891090393,0.01409272663295269
1650870606858591500,0.380591552734375,-0.002211956540122628,-0.008085405454039574,-0.005760871805250645
1650870606868601600,0.3906015625,0.002920551225543022,-0.01971488632261753,-0.03132513165473938
1650870606878611500,0.400611572265625,-0.004685702733695507,-0.02668437920510769,-0.056275226175785065
1650870606888620500,0.41062060546875,-0.013062248937785625,-0.025194881483912468,-0.06729582697153091
1650870606898630700,0.420630615234375,-0.014641236513853073,-0.03193241357803345,-0.06774803251028061
1650870606908640500,0.430640625,-0.01927119866013527,-0.038739968091249466,-0.07912789285182953
1650870606918650600,0.440650634765625,-0.02432987466454506,-0.03629731759428978,-0.09580061584711075
1650870606928660700,0.45066064453125,-0.030490629374980927,-0.021557800471782684,-0.09839022159576416
1650870606938669600,0.460669677734375,-0.048519428819417953,-0.01388736255466938,-0.09439575672149658
1650870606948679700,0.4706796875,-0.0766524225473404,-0.013370431959629059,-0.09359769523143768
1650870606958689800,0.480689697265625,-0.09117597341537476,-0.00537668913602829,-0.09422007948160172
1650870606968699600,0.49069970703125,-0.08925282210111618,-0.010666795074939728,-0.09481218457221985
1650870606978708700,0.500708740234375,-0.0928502231836319,-0.020829150453209877,-0.1182519942522049
1650870606988718800,0.51071875,-0.09053666889667511,-0.03082318976521492,-0.15093381702899933
1650870606998728700,0.520728759765625,-0.08628600090742111,-0.04146731272339821,-0.19284291565418243
1650870607008738600,0.530738525390625,-0.11319077014923096,-0.04542237147688866,-0.23257258534431458
1650870607018747600,0.54074755859375,-0.13942690193653107,-0.04786821827292442,-0.27246326208114624
1650870607028757500,0.550757568359375,-0.16796617209911346,-0.023082710802555084,-0.32409924268722534
1650870607038767600,0.560767578125,-0.24206863343715668,0.04263158515095711,-0.3467795252799988
1650870607048777500,0.570777587890625,-0.3667753040790558,0.22746242582798004,-0.3913511335849762
1650870607058786600,0.58078662109375,-0.47017544507980347,0.3031933903694153,-0.4161326289176941
1650870607068787000,0.590786865234375,-0.5246517062187195,0.3909754753112793,-0.41574859619140625
1650870607078796800,0.600796875,-0.5906506776809692,0.2128041386604309,-0.3689797520637512
1650870607088807000,0.610806884765625,-0.46387726068496704,-0.012912632897496223,-0.3840253949165344
1650870607098816800,0.620816650390625,-0.3631138801574707,-0.18237435817718506,-0.455258846282959
1650870607108825900,0.630825927734375,-0.3441102206707001,-0.13056229054927826,-0.49664947390556335
1650870607118836000,0.6408359375,-0.38786038756370544,0.06249718368053436,-0.4955299198627472
1650870607128845800,0.650845703125,-0.4646536409854889,0.304583340883255,-0.5768916606903076
1650870607138856000,0.66085595703125,-0.49103012681007385,0.44848376512527466,-0.7358986139297485
1650870607148865000,0.670864990234375,-0.4203592836856842,0.46527206897735596,-0.9630059599876404
1650870607158905900,0.68090576171875,-0.3029852509498596,0.3668147325515747,-1.2319849729537964
1650870607168915000,0.6909150390625,-0.18817967176437378,0.20065613090991974,-1.5165289640426636
1650870607178925000,0.700925048828125,-0.16342851519584656,0.12753531336784363,-1.7333028316497803
1650870607188935200,0.71093505859375,-0.20072047412395477,0.20396965742111206,-1.8514279127120972
1650870607198945000,0.720945068359375,-0.08764716982841492,0.36342960596084595,-1.7751421928405762
1650870607208953900,0.730953857421875,-0.17437876760959625,0.43534669280052185,-1.5784355401992798
1650870607218964000,0.7409638671875,-0.47261685132980347,0.5495291352272034,-1.346118688583374
1650870607228973800,0.750973876953125,-0.5962319374084473,0.6804664134979248,-1.0428683757781982
1650870607238984000,0.76098388671875,-0.4634472727775574,0.6687484979629517,-0.6656385064125061
1650870607248993800,0.770993896484375,-0.16643314063549042,0.5497081279754639,-0.3027128577232361
