time,seconds_elapsed,z,y,x
1650870606648356600,0.170356689453125,-8.03252669607997,-5.444351446831226,1.4170152083739638
1650870606658365700,0.18036572265625,-8.03263717071712,-5.444149786779284,1.4171660150215029
1650870606668375800,0.190375732421875,-8.033436796662212,-5.442995940569043,1.4170644543431699
1650870606678385700,0.2003857421875,-8.034462632578611,-5.44147150748074,1.4171028866574167
1650870606688395800,0.210395751953125,-8.035007991501688,-5.440642655441165,1.4171949488550424
1650870606698404600,0.220404541015625,-8.034972335666417,-5.440701107630133,1.417172298631817
1650870606708414500,0.23041455078125,-8.034531606161593,-5.441422407642007,1.4169013727359472
1650870606718424600,0.240424560546875,-8.034598241657019,-5.4413066723078485,1.416964354969561
1650870606728434700,0.2504345703125,-8.035419494912027,-5.439891544812918,1.4177427919961512
1650870606738443500,0.260443603515625,-8.036827023622394,-5.437658671194314,1.4183286290600896
1650870606748453600,0.27045361328125,-8.048225784993171,-5.412242490386962,1.4505442607492207
1650870606758463700,0.280463623046875,-8.054940187940002,-5.40325780442059,1.4467638654276729
1650870606768473600,0.2904736328125,-8.050227772465348,-5.40288429493308,1.474131618694216
1650870606778483700,0.300483642578125,-8.046219705867767,-5.407205665263533,1.4801562858112156
1650870606788492800,0.310492919921875,-8.04561764832139,-5.412001082846522,1.4658344766005873
1650870606798502700,0.320502685546875,-8.046309722238778,-5.416038960060477,1.446998258705437
1650870606808512800,0.3305126953125,-8.04780025305748,-5.415792876344919,1.4396085868455468
1650870606818522600,0.340522705078125,-8.049072757211327,-5.415350977796316,1.43415192887485
1650870606828531700,0.35053173828125,-8.050809956267475,-5.412648733100295,1.4346008416861296
1650870606838541800,0.360541748046875,-8.050569133248924,-5.411024346768856,1.442060948433727
1650870606848581600,0.37058154296875,-8.046858588293194,-5.414422757035494,1.4499896956063807
1650870606858591500,0.380591552734375,-8.045482623764872,-5.41601441014111,1.4516813019551336
1650870606868601600,0.3906015625,-8.047246710827947,-5.4145507673293345,1.4473571551457047
1650870606878611500,0.400611572265625,-8.053320477783679,-5.406679011040926,1.4429955989353358
1650870606888620500,0.41062060546875,-8.062061418122052,-5.3950850193589925,1.4375696283638477
1650870606898630700,0.420630615234375,-8.0678283110857,-5.388938771688938,1.4282408051349222
1650870606908640500,0.430640625,-8.076508461147546,-5.3793683947891,1.4152008524283766
1650870606918650600,0.440650634765625,-8.083572992706298,-5.370537438079714,1.4083905878916383
1650870606928660700,0.45066064453125,-8.085785992580652,-5.36644227772057,1.411291277769208
1650870606938669600,0.460669677734375,-8.086090528485178,-5.364319294217228,1.417603383525461
1650870606948679700,0.4706796875,-8.087168386849761,-5.3613113445729015,1.422826232740283
1650870606958689800,0.480689697265625,-8.090539909109474,-5.355396567571163,1.4259310668878256
1650870606968699600,0.49069970703125,-8.095182181957364,-5.347449992480874,1.4294023962602018
1650870606978708700,0.500708740234375,-8.100310192495584,-5.338711974751949,1.4330055353187023
1650870606988718800,0.51071875,-8.106854499572515,-5.328589809188246,1.4336748128823935
1650870606998728700,0.520728759765625,-8.11499572045207,-5.316062336048484,1.4341241640850901
1650870607008738600,0.530738525390625,-8.126333107024431,-5.299034628880023,1.43294445278123
1650870607018747600,0.54074755859375,-8.141176455891133,-5.276821043506264,1.430659410583973
1650870607028757500,0.550757568359375,-8.15902716988027,-5.249570633009076,1.42921944090873
1650870607038767600,0.560767578125,-8.175222517877817,-5.222188120564818,1.436970201165974
1650870607048777500,0.570777587890625,-8.190832174941898,-5.190412926119565,1.4629656431660056
1650870607058786600,0.58078662109375,-8.206181135243177,-5.1536704646557565,1.506204042520374
1650870607068787000,0.590786865234375,-8.220119644224644,-5.114823139867187,1.5616028352677822
1650870607078796800,0.600796875,-8.235276296824216,-5.0732279776752,1.6164664982251822
1650870607088807000,0.610806884765625,-8.252417401239276,-5.033896668761968,1.6516289970211684
1650870607098816800,0.620816650390625,-8.275192712149023,-4.992557527157664,1.6631120756745337
1650870607108825900,0.630825927734375,-8.301975505134463,-4.94681752024591,1.6663067800626157
1650870607118836000,0.6408359375,-8.327039219242334,-4.899611824695766,1.6806548927582798
1650870607128845800,0.650845703125,-8.349697041252256,-4.848246086856722,1.7168145858980715
1650870607138856000,0.66085595703125,-8.374358604300022,-4.785136427471041,1.7728448084168136
1650870607148865000,0.670864990234375,-8.406099896475672,-4.705818852867186,1.83388803679198
1650870607158905900,0.68090576171875,-8.449480773040651,-4.606319490978121,1.886392131011188
1650870607168915000,0.6909150390625,-8.506654028114676,-4.484911079619825,1.9216642276614904
1650870607178925000,0.700925048828125,-8.575748022606968,-4.342150960414111,1.9423330678112805
1650870607188935200,0.71093505859375,-8.64937615339756,-4.1836496667191385,1.963605865203589
1650870607198945000,0.720945068359375,-8.718838396680354,-4.02164328751266,1.994649238242954
1650870607208953900,0.730953857421875,-8.777005338966847,-3.8725291231051084,2.034226338610798
1650870607218964000,0.7409638671875,-8.822672865164279,-3.7368598389431833,2.0896661940209564
1650870607228973800,0.750973876953125,-8.85374429525435,-3.6189383929178116,2.1644576695024966
1650870607238984000,0.76098388671875,-8.869249322900176,-3.530986260959506,2.2447563640981913
1650870607248993800,0.770993896484375,-8.872131015816331,-3.48106136957854,2.3103863357417285
1650870607259003000,0.7810029296875,-8.866402116775513,-3.465326624830067,2.3555920896463096
1650870607269013000,0.791012939453125,-8.855005108970403,-3.4695158932134507,2.3920136485926804
1650870607279022800,0.80102294921875,-8.838482428714633,-3.48594797257632,2.4289457874096927
1650870607289033000,0.811032958984375,-8.813528604722023,-3.5172830220386384,2.4740283533260223
